# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
34400 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
34500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
34600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
34700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
34800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
34900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
35000 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
35100 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
35200 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
35300 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
35400 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
35500 -0.03 0.00 0.03 -0.00 1.03 0.01+0.00j
35600 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
35700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
35800 -0.03 0.00 0.03 -0.00 1.08 0.01+0.00j
35900 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
36000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
36100 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
36200 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
36300 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
36400 -0.03 -0.00 0.03 -0.00 1.05 0.01-0.00j
36500 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
36600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
36700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
36800 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
36900 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
37000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
37100 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
37200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
37300 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
37400 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
37500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
37600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
37700 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
37800 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
37900 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
38000 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
38100 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
38200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
38300 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
38400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
38500 -0.03 -0.00 0.03 -0.00 1.08 0.01-0.00j
38600 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
38700 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
38800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
38900 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
39000 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
39100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
39200 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
39300 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
39400 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
39500 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
39600 -0.03 0.00 0.03 -0.00 1.03 0.01+0.00j
39700 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
39800 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
39900 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
40000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
