# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
3290000 93.33 0.23 51.13 0.12 1.00 102.31+0.23j
3300000 93.32 -0.25 51.15 -0.13 1.00 102.30-0.25j
3310000 93.35 -0.24 51.30 0.13 1.00 102.33-0.24j
3320000 93.35 0.19 51.40 -0.13 1.00 102.33+0.19j
3330000 93.37 0.00 51.22 0.09 1.00 102.35+0.00j
3340000 93.36 0.05 51.13 0.11 1.00 102.34+0.05j
3350000 93.38 -0.12 51.14 0.09 1.00 102.36-0.12j
3360000 93.36 0.08 51.31 0.11 1.00 102.34+0.08j
3370000 93.32 -0.00 51.19 0.02 1.00 102.30-0.00j
3380000 93.36 -0.02 51.17 0.11 1.00 102.34-0.02j
3390000 93.37 -0.19 51.11 0.16 1.00 102.35-0.19j
3400000 93.34 -0.37 51.29 0.06 1.00 102.31-0.37j
3410000 93.30 -0.29 50.99 0.10 1.00 102.28-0.29j
3420000 93.30 -0.25 51.21 0.07 1.00 102.28-0.25j
3430000 93.30 0.07 51.13 0.12 1.00 102.28+0.07j
3440000 93.29 0.10 51.09 0.17 1.00 102.27+0.10j
3450000 93.29 -0.35 51.19 0.05 1.00 102.27-0.35j
3460000 93.29 -0.33 51.17 0.12 1.00 102.27-0.33j
3470000 93.31 -0.33 51.18 -0.02 1.00 102.29-0.33j
3480000 93.33 -0.20 51.28 0.16 1.00 102.31-0.20j
3490000 93.31 -0.23 51.17 -0.08 1.00 102.29-0.23j
3500000 93.34 -0.82 51.22 -0.21 1.00 102.32-0.82j
3510000 93.39 -0.72 51.22 -0.13 1.00 102.37-0.72j
3520000 93.33 -0.78 51.14 -0.09 1.00 102.31-0.78j
3530000 93.37 -0.55 51.03 -0.03 1.00 102.34-0.55j
3540000 93.34 -0.67 51.17 0.14 1.00 102.32-0.67j
3550000 93.31 -0.57 51.27 -0.18 1.00 102.29-0.57j
3560000 93.30 -0.46 51.03 -0.04 1.00 102.28-0.46j
3570000 93.28 -0.74 51.34 -0.04 1.00 102.26-0.74j
3580000 93.29 -0.95 51.19 -0.11 1.00 102.27-0.95j
3590000 93.34 -0.59 51.35 -0.03 1.00 102.32-0.59j
3600000 93.32 -0.67 51.06 0.15 1.00 102.30-0.67j
3610000 93.28 -0.58 51.21 0.12 1.00 102.26-0.58j
3620000 93.30 -0.79 51.13 0.01 1.00 102.28-0.79j
3630000 93.55 -1.29 49.81 -2.30 1.00 102.53-1.29j
3640000 93.30 -0.65 51.14 0.02 1.00 102.28-0.65j
3650000 93.29 -0.77 51.12 0.02 1.00 102.27-0.77j
3660000 93.31 -0.95 51.22 -0.04 1.00 102.29-0.95j
3670000 93.34 -0.88 51.09 0.02 1.00 102.32-0.88j
3680000 93.31 -0.82 51.24 -0.02 1.00 102.29-0.82j
3690000 93.34 -0.90 51.26 0.14 1.00 102.32-0.90j
3700000 93.27 -0.85 51.21 -0.10 1.00 102.25-0.85j
3710000 93.30 -1.02 51.18 -0.08 1.00 102.28-1.02j
3720000 93.30 -1.07 51.36 0.03 1.00 102.28-1.07j
3730000 93.30 -1.07 51.19 -0.01 1.00 102.28-1.07j
3740000 93.30 -1.20 51.07 -0.10 1.00 102.28-1.20j
3750000 93.30 -1.24 51.21 -0.08 1.00 102.28-1.24j
3760000 93.29 -1.02 51.16 0.02 1.00 102.27-1.02j
3770000 93.30 -1.19 51.13 0.04 1.00 102.28-1.19j
3780000 93.28 -1.14 51.18 0.03 1.00 102.25-1.14j
3790000 93.35 -1.35 51.33 -0.02 1.00 102.33-1.35j
3800000 93.31 -1.19 51.01 -0.01 1.00 102.29-1.19j
3810000 93.33 -1.02 51.14 0.10 1.00 102.31-1.02j
3820000 93.28 -1.27 51.15 -0.10 1.00 102.26-1.27j
3830000 93.33 -1.48 51.20 -0.15 1.00 102.31-1.48j
3840000 93.26 -1.43 51.13 -0.10 1.00 102.24-1.43j
3850000 93.32 -1.15 51.22 0.05 1.00 102.30-1.15j
3860000 93.35 -1.20 51.08 -0.04 1.00 102.33-1.20j
3870000 93.33 -1.04 51.20 0.07 1.00 102.31-1.04j
3880000 93.33 -1.20 51.18 0.05 1.00 102.31-1.20j
3890000 93.31 -1.24 51.05 -0.01 1.00 102.29-1.24j
3900000 93.27 -1.29 51.06 0.04 1.00 102.25-1.29j
