# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
91000 | -0.0659 | 16.8091 | 3.9738 | 3.3359| 1.5625 | -1.7607+0.3278j | 841.1751-19.6677j
92000 | -0.0740 | 16.2972 | 3.9736 | 3.3359| 1.5625 | -2.1676+0.0527j | 815.5774-3.8594j
93000 | -0.0756 | 16.2003 | 3.9736 | 3.3359| 1.5625 | -2.2438+1.0792j | 810.7329-70.1799j
94000 | -0.0604 | 17.1783 | 3.9734 | 3.3359| 1.5625 | -1.4887-0.0099j | 859.6330+1.8567j
95000 | -0.0896 | 15.2883 | 3.9738 | 3.3359| 1.5625 | -2.9488-1.1448j | 765.1352+73.6759j
96000 | -0.0646 | 16.9136 | 3.9734 | 3.3359| 1.5625 | -1.6948+0.1874j | 846.3964-11.7541j
97000 | -0.0783 | 16.0247 | 3.9735 | 3.3359| 1.5625 | -2.3812-0.9812j | 801.9511+62.5269j
98000 | -0.0702 | 16.5495 | 3.9735 | 3.3359| 1.5625 | -1.9758-0.7232j | 828.1925+46.4189j
99000 | -0.0460 | 18.0933 | 3.9736 | 3.3359| 1.5625 | -0.7658-0.2161j | 905.3826+14.0552j
100000 | -0.0777 | 16.0435 | 3.9739 | 3.3359| 1.5625 | -2.3500+1.3439j | 802.8935-86.4127j
